

~~~~~~~~~~~ 2023-03-06 16:14:29 ~~~~~~~~~~~

Name    Grow prc min: 30, 60, 90, 120
CHF_JPY, -0.012319, 0.020549, 0.068536, 0.104211
EUR_JPY, -0.019282, 0.002764, -0.011013, 0.014475
USD_CNH, -0.011359, -0.008342, -0.008630, -0.020426
GBP_PLN, 0.037520, 0.032776, 0.016295, 0.005681
USD_DKK, 0.010911, -0.017360, -0.042463, -0.067841
EUR_DKK, 0.000269, 0.005376, 0.004837, 0.006721
AUD_CAD, -0.028374, -0.048010, 0.001093, 0.006553
EUR_GBP, -0.014641, -0.014641, -0.024763, -0.007885
NZD_USD, -0.054876, -0.024218, 0.067858, 0.155248
USD_CZK, 0.247492, 0.176589, 0.155024, 0.127115
NZD_JPY, -0.048680, -0.030877, 0.022572, 0.107020
AUD_SGD, -0.030926, -0.050796, -0.017677, 0.029832
AUD_HKD, -0.034446, -0.028014, 0.020831, 0.074650
GBP_USD, -0.000833, 0.031611, 0.063242, 0.076563
USD_MXN, 0.024497, 0.031895, -0.006440, -0.020874
EUR_CHF, -0.021119, -0.035195, -0.097480, -0.106515
AUD_CHF, -0.030329, -0.065420, -0.102082, -0.089336
ZAR_JPY, -0.026844, -0.026844, -0.026844, -0.053679
CHF_ZAR, 0.011216, 0.063586, 0.096068, 0.160899
HKD_JPY, 0.005486, -0.006476, -0.042773, -0.048319
EUR_PLN, 0.041586, 0.037954, 0.008520, 0.017051
USD_HKD, 0.002035, -0.000510, -0.002806, -0.000128
EUR_SGD, -0.025750, -0.020176, -0.016701, 0.006962
USD_SEK, 0.012536, -0.004114, -0.047514, -0.087927
GBP_SGD, 0.001857, 0.007421, 0.019782, 0.030296
GBP_NZD, 0.054101, 0.055127, -0.004635, -0.077702
GBP_HKD, 0.000737, 0.030296, 0.059782, 0.076433
EUR_HKD, -0.026715, 0.002150, 0.024817, 0.053233
USD_JPY, 0.007353, -0.007363, -0.045600, -0.048539
EUR_TRY, -0.111940, 0.016455, 0.044065, 0.064452
USD_CAD, 0.007339, -0.014691, -0.022036, -0.067538
EUR_CZK, 0.274273, 0.259374, 0.264270, 0.262565
CAD_CHF, -0.001465, -0.026321, -0.106652, -0.097900
NZD_HKD, -0.053860, -0.024673, 0.063395, 0.155967
NZD_CHF, -0.048553, -0.062413, -0.058943, -0.010411
EUR_USD, -0.029024, 0.001864, 0.027153, 0.052455
GBP_JPY, -0.001232, 0.016516, 0.008561, 0.020803
USD_TRY, -0.083375, 0.013606, 0.016403, 0.011063
CHF_HKD, -0.004512, 0.037128, 0.125014, 0.163665
NZD_CAD, -0.048608, -0.037942, 0.045089, 0.087845
EUR_NZD, 0.026103, 0.023786, -0.042309, -0.100797
GBP_CAD, 0.003663, 0.015271, 0.042162, 0.010384
EUR_AUD, -0.003147, 0.020172, -0.007556, -0.034016
SGD_JPY, 0.003964, 0.015843, -0.003956, -0.002967
TRY_JPY, 0.069572, -0.027799, -0.097235, -0.069475
EUR_ZAR, -0.011388, 0.028276, -0.005998, 0.050398
AUD_JPY, -0.027318, -0.032786, -0.020765, 0.030621
EUR_SEK, 0.012179, 0.024720, 0.001614, -0.011553
USD_SGD, 0.002978, -0.023036, -0.042352, -0.046070
USD_THB, -0.110132, -0.162205, -0.167996, -0.162205
GBP_CHF, 0.016083, -0.005356, -0.061600, -0.083898
GBP_AUD, 0.034697, 0.055420, 0.034697, -0.002241
USD_PLN, 0.054218, 0.035983, -0.018215, -0.036413
EUR_NOK, -0.087138, -0.061101, -0.105445, -0.128585
CAD_HKD, -0.005028, 0.014574, 0.018908, 0.067511
CAD_JPY, -0.001001, 0.013022, -0.023032, 0.023035
USD_ZAR, 0.017643, 0.025975, -0.031769, -0.002957
NZD_SGD, -0.052788, -0.043196, 0.024010, 0.110555
USD_HUF, -0.038239, -0.095695, -0.105310, -0.153369
EUR_CAD, -0.023386, -0.012379, 0.006871, -0.013067
CAD_SGD, -0.004047, -0.008095, -0.020240, 0.022270
GBP_ZAR, 0.016044, 0.056340, 0.030266, 0.073220
EUR_HUF, -0.075568, -0.098358, -0.083524, -0.107887
AUD_NZD, 0.023011, 0.004597, -0.035883, -0.072650
USD_CHF, 0.006449, -0.036513, -0.126611, -0.163032
AUD_USD, -0.031194, -0.022280, 0.029734, 0.081801
USD_NOK, -0.064587, -0.064294, -0.134927, -0.184707
SGD_CHF, 0.002886, -0.014452, -0.083752, -0.116926


~~~~~~~~~~~ 2023-03-06 16:18:34 ~~~~~~~~~~~

Name    Grow prc min: 30, 60, 90, 120
CHF_JPY, -0.005475, 0.027395, 0.075385, 0.111063
EUR_JPY, -0.028929, -0.006884, -0.020661, 0.004825
USD_CNH, -0.015105, -0.012087, -0.012375, -0.024171
GBP_PLN, 0.078257, 0.073510, 0.057023, 0.046404
USD_DKK, 0.034019, 0.005741, -0.019367, -0.044751
EUR_DKK, -0.003492, 0.001615, 0.001076, 0.002960
